	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20
sp1	1.12575057975	-0.0131696516134	-0.013073438604	0.01253885673	0.0282965337891	0.00909592389269	0.00173066995174	0.0440989980952	0.017207533422	-0.0224336348408	-0.0331960948671	-0.0117429859636	-0.0117441982012	-0.0158182880259	0.0389957751044	0.00899038984879	-0.047757010172	-0.00740047157742	0.0322181235867	-0.0293087227915
sp2	-0.0131696516134	1.04206165931	-0.00237154085138	0.0273986277682	-0.0163619058532	-0.0302639906342	0.00410454006722	-0.00192011667348	0.0287192682294	-0.0238186172954	0.0289050206229	-0.0428237082528	0.0229262676709	-0.00156129916356	-0.0276818112544	-0.0470197162915	0.0193877317849	-0.0189200484692	-0.00303793386492	0.0544383845107
sp3	-0.013073438604	-0.00237154085138	1.11122850054	0.0154774260929	0.00957911159337	-0.0328330049182	0.00647841409733	0.00530218317279	-0.0190155660487	0.016010755138	-0.00393691145719	-0.00107162513224	-0.0215512122378	0.00181496633907	-0.0180609836253	-0.0115865077882	-0.0180606071076	0.0262514208451	0.00215330593165	0.0260137704387
sp4	0.01253885673	0.0273986277682	0.0154774260929	1.01761487844	-0.015890849952	7.16437217411e-06	0.0114026000826	-0.0131061561901	0.000737564722477	-0.00380950042635	-0.0385832375105	-0.0075768128112	0.0207761212041	0.00392380537983	-4.19927427243e-05	-0.0441805401621	-0.0284628487904	-0.00797216697575	0.0125735994867	0.00131869495129
sp5	0.0282965337891	-0.0163619058532	0.00957911159337	-0.015890849952	0.970174187368	0.0259968543906	-0.0129803836627	-0.0349472974298	0.0369523019358	-0.0308000935306	-0.0095584221937	-0.0203895347057	-0.0128869597598	-0.0343790556515	-0.0127228968589	-0.00677184177552	0.0106779745917	-0.0246769877989	-0.00114011633976	0.0333180422407
sp6	0.00909592389269	-0.0302639906342	-0.0328330049182	7.16437217411e-06	0.0259968543906	1.01679277893	-0.005015409936	-0.000918743597269	-0.0243031994358	0.00512531326219	0.0106922225617	0.0167826409041	0.067635685311	-0.00894901689344	0.0142852823634	-0.0126534592775	-0.0107801084292	0.0171191071579	0.0134868072196	0.00567872120482
sp7	0.00173066995174	0.00410454006722	0.00647841409733	0.0114026000826	-0.0129803836627	-0.005015409936	1.0019624985	0.0152946981547	-0.0187772665827	0.0167388206269	-0.00164932277298	0.0111873107263	0.032783392644	0.00579006254901	0.0272961784176	0.00359202036488	-0.0210004182107	-0.0125622936879	-0.0191172841058	-0.0107644315482
sp8	0.0440989980952	-0.00192011667348	0.00530218317279	-0.0131061561901	-0.0349472974298	-0.000918743597269	0.0152946981547	1.09746561071	-0.00577650990589	-0.00776525628914	0.0098280558694	0.019484797429	-0.0156391535841	0.00280230184567	0.0428982000922	0.0468264487909	-0.0297151240216	-0.0437637889357	0.00612219534107	-0.0186765645105
sp9	0.017207533422	0.0287192682294	-0.0190155660487	0.000737564722477	0.0369523019358	-0.0243031994358	-0.0187772665827	-0.00577650990589	0.983464791147	-0.0161134546897	0.00144930573709	-0.00544727323596	-0.000410059260921	0.0283863824057	-0.0179315911306	0.0195425780029	-0.00441705236331	0.0241700935652	0.0294497897689	-0.0301779425787
sp10	-0.0224336348408	-0.0238186172954	0.016010755138	-0.00380950042635	-0.0308000935306	0.00512531326219	0.0167388206269	-0.00776525628914	-0.0161134546897	1.03955827335	-0.029364716482	0.00175611017435	-0.0271814074395	0.0153522220143	-0.00214246053641	0.0219517086305	0.000415725785568	-0.0255156505882	0.0338980976905	-0.0116810368022
